museum,acc.no,taxon,MC1.L,MC1.BML,MC1.BDP,MC1.MSML,MC1.MSDP,MC1.HML,MC1.HDP,MC5.L,MC5.BML,MC5.BDP,MC5.MSML,MC5.MSDP,MC5.HML,MC5.HDP,PP3.L,PP3.BML,PP3.BDP,PP3.MSML,PP3.MSDP,PP3.TML,PP3.TDP,IP3.L,IP3.BML,IP3.BDP,IP3.TML,IP3.TDP
PAHMA,6812,Homo_sapiens,47.5,16,17,11.1,8.1,14.8,14.21,54.04,11.57,10.87,7.28,5.89,11.85,12.05,46.92,17.26,12.2,9.8,6.75,11.93,8.48,28.07,13.45,10.15,10,5.65
PAHMA,5994,Homo_sapiens,48.32,16.41,16.11,11.66,9.46,15.12,13.3,55.2,11.22,10.14,9.06,7.24,12.2,12.9,47.11,15.85,12.7,10.54,7.2,12.08,8.13,30.6,14.15,10.04,10.2,6.78
PAHMA,6977,Homo_sapiens,44.6,15.05,15.94,9.88,8.46,14.43,13.45,51.53,10.15,11,7.05,6.6,12.5,12.3,45.43,16.94,12.66,10.71,7.37,12.12,8.52,29.5,15.18,11.07,9.94,6.82
PAHMA,6094,Homo_sapiens,49.26,15.52,16.12,10.95,8.2,16.3,14.4,57.48,10.2,10.96,7.7,6.38,12.36,12.06,49.87,16.64,13.67,10,7.28,12.64,8.86,33,14,11.35,10,6.1
EvoMorph,1,Homo_sapiens,43.7,13.53,12.74,10.15,7.64,13.2,11.4,51.29,13.95,10.52,7.3,6.4,11.53,11.41,47.84,15.68,11.28,9.05,6.53,12,7.54,32.66,13.23,10.26,9.38,5.71
EvoMorph,2,Homo_sapiens,46.16,16.91,17.39,12.86,8.64,15.52,15.36,53.75,14.81,10.98,8.82,6.94,12.15,14.25,44.45,16.22,12.55,9.53,6.55,12.3,8.48,22.47,13.51,9.45,10.23,5.25
EvoMorph,3,Homo_sapiens,45.45,14.07,13.21,10.21,6.93,13.48,12.17,53.01,12.77,10.59,7.5,5.79,10.98,10.56,45.42,15.38,11.7,9.56,6.06,11.85,7.84,28.5,13.61,10.1,9.83,6.23
AMNH,98/285,Homo_sapiens,45.86,15.38,13.97,12.27,9.37,13.86,13.15,53.66,12.52,11.49,8.11,6.64,10.45,11.6,46.63,16.41,12.79,9.87,7.66,11.8,8.39,29.5,12.97,9.63,9.46,5.64
AMNH,98/286,Homo_sapiens,49.18,15.64,16.47,11.95,9.4,15.4,14.57,54.61,13.07,9.42,8.6,7.47,11.73,12.36,50.26,17.27,13.17,11.45,7.97,13.58,9.68,32.85,14.65,10.91,11.77,6.93
AMNH,98/290,Homo_sapiens,45.5,16.34,17.79,12.47,9.55,15.53,14.25,54.38,14.51,11.69,7.87,7.31,11.21,12.87,47.34,18.13,13.6,12.17,7.74,13.81,9.55,33.87,15.83,11.19,10.01,6.75
AMNH,98/291,Homo_sapiens,47.38,16.96,15.02,12.75,8.73,15.39,13.22,56.78,13.76,11.01,8.75,8.22,12.88,12,48.23,16.78,12.48,10.52,8.16,11.89,9.41,33.61,13.89,10.97,10.13,7.03
AMNH,98/294,Homo_sapiens,49.69,15.22,17.17,11.48,9.45,16.29,15.81,56.12,14.03,11.49,9.24,7.38,11.66,11.86,48.96,17.06,13.35,10.78,7.43,12.32,8.57,33.03,14.83,10.22,10.64,6.59
AMNH,98/272,Homo_sapiens,49.85,15.23,13.34,11.8,8.9,14.44,12.93,60.3,12.27,12.33,7.73,7.28,12.26,11.84,48.38,16.53,12.41,10.04,8.06,11.68,8.48,31.24,13.61,10.63,10.2,5.79
