Genus_Species,Avg_GS,Min of Group Size,Max of Group Size,Count of First or Duplicate Entry?
Saguinus_imperator,4,4,4,1
Saguinus_leucopus,8.5,8.5,8.5,1
Saguinus_midas,5,5,5,1
Saguinus_mystax,5.3,5.3,5.3,1
Saguinus_oedipus,6.298333333,3,8,6
Saimiri_boliviensis,20,20,20,1
Saimiri_oerstedii,24,23,25,2
Saimiri_sciureus,37.80833333,19,65,12
Semnopithecus_dussumieri,24.75,9.5,37.5,4
Symphalangus_syndactylus,3.86,3,5,5
Tarsius_bancanus,2,2,2,1
Tarsius_syrichta,2,2,2,1
Theropithecus_gelada,151.3,7.2,320,4
Trachypithecus_cristatus,24.75,21.5,28,2
Trachypithecus_geei,14.1,11.5,16.7,2
Trachypithecus_johnii,16.5,8,32,4
Trachypithecus_obscurus,10.3,10.3,10.3,1
Trachypithecus_phayrei,8.8,8.8,8.8,1
Trachypithecus_pileatus,6.2,6,6.4,2
Trachypithecus_vetulus,13,13,13,1
Varecia_variegata,5.933333333,2,10.5,3
